data_origin,model,window_days,source_id,attributed_revenue_rub
synthetic,first_touch,7,direct,1000.00
synthetic,first_touch,7,organic_search,2000.00
synthetic,first_touch,7,owned_native,9990.00
synthetic,first_touch,7,unknown,7000.00
synthetic,last_touch,7,direct,1000.00
synthetic,last_touch,7,organic_search,2000.00
synthetic,last_touch,7,owned_sale,9990.00
synthetic,last_touch,7,unknown,7000.00
synthetic,linear,7,direct,1000.00
synthetic,linear,7,organic_search,2000.00
synthetic,linear,7,owned_native,4995.00
synthetic,linear,7,owned_sale,4995.00
synthetic,linear,7,unknown,7000.00
synthetic,time_decay,7,direct,1000.00
synthetic,time_decay,7,organic_search,2000.00
synthetic,time_decay,7,owned_native,3553.33
synthetic,time_decay,7,owned_sale,6436.67
synthetic,time_decay,7,unknown,7000.00
synthetic,position_based,7,direct,1000.00
synthetic,position_based,7,organic_search,2000.00
synthetic,position_based,7,owned_native,4995.00
synthetic,position_based,7,owned_sale,4995.00
synthetic,position_based,7,unknown,7000.00
synthetic,last_non_direct,7,direct,1000.00
synthetic,last_non_direct,7,organic_search,2000.00
synthetic,last_non_direct,7,owned_sale,9990.00
synthetic,last_non_direct,7,unknown,7000.00
synthetic,first_touch,14,direct,1000.00
synthetic,first_touch,14,organic_search,2000.00
synthetic,first_touch,14,owned_native,9990.00
synthetic,first_touch,14,unknown,7000.00
synthetic,last_touch,14,direct,1000.00
synthetic,last_touch,14,organic_search,2000.00
synthetic,last_touch,14,owned_sale,9990.00
synthetic,last_touch,14,unknown,7000.00
synthetic,linear,14,direct,1000.00
synthetic,linear,14,organic_search,2000.00
synthetic,linear,14,owned_native,4995.00
synthetic,linear,14,owned_sale,4995.00
synthetic,linear,14,unknown,7000.00
synthetic,time_decay,14,direct,1000.00
synthetic,time_decay,14,organic_search,2000.00
synthetic,time_decay,14,owned_native,3553.33
synthetic,time_decay,14,owned_sale,6436.67
synthetic,time_decay,14,unknown,7000.00
synthetic,position_based,14,direct,1000.00
synthetic,position_based,14,organic_search,2000.00
synthetic,position_based,14,owned_native,4995.00
synthetic,position_based,14,owned_sale,4995.00
synthetic,position_based,14,unknown,7000.00
synthetic,last_non_direct,14,direct,1000.00
synthetic,last_non_direct,14,organic_search,2000.00
synthetic,last_non_direct,14,owned_sale,9990.00
synthetic,last_non_direct,14,unknown,7000.00
synthetic,first_touch,30,direct,1000.00
synthetic,first_touch,30,organic_search,2000.00
synthetic,first_touch,30,paid_A,9990.00
synthetic,first_touch,30,unknown,7000.00
synthetic,last_touch,30,direct,1000.00
synthetic,last_touch,30,organic_search,2000.00
synthetic,last_touch,30,owned_sale,9990.00
synthetic,last_touch,30,unknown,7000.00
synthetic,linear,30,direct,1000.00
synthetic,linear,30,organic_search,2000.00
synthetic,linear,30,owned_native,3330.00
synthetic,linear,30,owned_sale,3330.00
synthetic,linear,30,paid_A,3330.00
synthetic,linear,30,unknown,7000.00
synthetic,time_decay,30,direct,1000.00
synthetic,time_decay,30,organic_search,2000.00
synthetic,time_decay,30,owned_native,3263.16
synthetic,time_decay,30,owned_sale,5911.05
synthetic,time_decay,30,paid_A,815.79
synthetic,time_decay,30,unknown,7000.00
synthetic,position_based,30,direct,1000.00
synthetic,position_based,30,organic_search,2000.00
synthetic,position_based,30,owned_native,1998.00
synthetic,position_based,30,owned_sale,3996.00
synthetic,position_based,30,paid_A,3996.00
synthetic,position_based,30,unknown,7000.00
synthetic,last_non_direct,30,direct,1000.00
synthetic,last_non_direct,30,organic_search,2000.00
synthetic,last_non_direct,30,owned_sale,9990.00
synthetic,last_non_direct,30,unknown,7000.00
synthetic,first_touch,60,direct,1000.00
synthetic,first_touch,60,organic_search,2000.00
synthetic,first_touch,60,paid_A,9990.00
synthetic,first_touch,60,unknown,7000.00
synthetic,last_touch,60,direct,1000.00
synthetic,last_touch,60,organic_search,2000.00
synthetic,last_touch,60,owned_sale,9990.00
synthetic,last_touch,60,unknown,7000.00
synthetic,linear,60,direct,1000.00
synthetic,linear,60,organic_search,2000.00
synthetic,linear,60,owned_native,3330.00
synthetic,linear,60,owned_sale,3330.00
synthetic,linear,60,paid_A,3330.00
synthetic,linear,60,unknown,7000.00
synthetic,time_decay,60,direct,1000.00
synthetic,time_decay,60,organic_search,2000.00
synthetic,time_decay,60,owned_native,3263.16
synthetic,time_decay,60,owned_sale,5911.05
synthetic,time_decay,60,paid_A,815.79
synthetic,time_decay,60,unknown,7000.00
synthetic,position_based,60,direct,1000.00
synthetic,position_based,60,organic_search,2000.00
synthetic,position_based,60,owned_native,1998.00
synthetic,position_based,60,owned_sale,3996.00
synthetic,position_based,60,paid_A,3996.00
synthetic,position_based,60,unknown,7000.00
synthetic,last_non_direct,60,direct,1000.00
synthetic,last_non_direct,60,organic_search,2000.00
synthetic,last_non_direct,60,owned_sale,9990.00
synthetic,last_non_direct,60,unknown,7000.00
